L09_Degree_Cert,Count of Instances
Agriculture and natural resources,3
Architecture and related services,5
"Area, ethnic, cultural, gender, and group studies",0
Biological and biomedical sciences,11
Business,33
"Communication, journalism, and related programs",11
Communications technologies,14
Computer and information sciences,41
Construction trades,5
Education,46
Engineering,49
Engineering technologies and engineering-related fields,14
English language and literature/letters,7
Family and consumer sciences/human sciences,3
"Foreign languages, literatures, and linguistics",2
Health professions and related programs,8
"Homeland security, law enforcement, and firefighting",4
Legal professions and studies,7
"Liberal arts and sciences, general studies, and humanities",4
Library science,26
Mathematics and statistics,9
Mechanic and repair technologies/technicians,3
Military technologies and applied sciences,2
Multi/interdisciplinary studies,0
"Parks, recreation, leisure, and fitness studies",1
Philosophy and religious studies,0
Physical sciences and science technologies,27
Precision production,1
Psychology,7
Public administration and social services,3
Social sciences and history,13
Theology and religious vocations,0
Transportation and materials moving,1
Visual and performing arts,36
Other and not classified,0
Unclear,1
No response,69