L00_Response_ID,L00_Random_ID_Num,L13ct_Other,Cleaned
1,93658,,
2,12094,,
3,32323,,
5,56480,,
6,63636,,
7,32323,,
8,12272,,
9,21718,,
10,26364,,
11,14271,,
12,20181,,
13,13151,,
14,58766,,
15,36331,,
16,87020,,
17,13210,,
18,20926,,
19,12094,,
20,63805,,
21,57343,,
22,76315,,
23,28511,,
24,93658,,
25,22086,,
26,96430,,
27,12094,,
28,63041,,
29,12094,,
30,26364,,
31,36998,,
32,39544,,
33,80670,,
34,48239,,
35,66359,,
36,54177,,
37,72462,,
38,17321,,
39,17321,,
40,66359,,
41,66491,,
42,17321,,
43,72964,,
44,36608,,
45,62612,,
46,13596,Academic Integration Liaison,Education - Writing curriculum
47,30975,,
48,19222,,
49,45148,,
50,86248,,
51,62612,,
52,87783,,
53,94663,,
54,36036,,
55,36609,,
56,87783,,
57,71365,,
58,87783,,
59,11551,,
60,30975,,
61,11551,,
62,73780,,
63,73780,,
64,73780,,
65,84377,,
66,73780,,
67,34678,,
68,73780,,
69,73780,,
70,29259,,
71,56187,,
72,81398,,
73,69996,,
74,41911,,
75,24055,,
76,20703,,
77,79611,,
78,19761,,
79,89444,,
80,41911,,
81,33035,Only one of me. No pay and no staff.,Unclear
82,33035,,
83,63494,,
84,81398,,
85,20703,,
86,93559,,
87,52819,,
88,42260,,
89,42260,,
90,62431,,
91,24081,,
92,94514,,
93,42260,,
94,42260,,
95,65099,,
96,77791,,
97,49968,,
98,41911,,
99,50389,,
100,80232,,
101,50926,,
102,11551,,
103,30619,,
104,84567,,
105,10881,,
106,19704,,
107,41911,,
108,82755,,
109,28902,,
110,62951,,
111,60829,,
112,37633,,
113,95840,Sales - Artwork,Sales - Retail or Member Work
114,76429,,
115,80705,,
116,10500,,
117,21050,,
118,28343,,
119,32364,,
120,50926,,
121,63475,,
122,16523,,
123,80230,,
124,23844,Taking out the garbage ...,Operations - Cleaning
125,18541,,
126,71365,,
127,66359,,
128,18534,,
129,11185,,
130,61173,,
131,72154,,
132,65848,,
133,74337,,
134,65848,,
135,63906,,
136,18321,,
137,46964,,
138,46964,,
139,63157,,
140,86898,,
141,74918,,
142,74918,,
143,16324,,
144,87581,,
145,15258,,
146,18541,,
147,41033,scrub bathrooms take out trash,Operations - Cleaning
148,81467,,
149,49977,,
150,74443,,
151,37086,,
153,50926,,
154,72919,,
155,50926,,
156,72462,,
157,26545,,
158,41911,,
159,61173,,
160,56817,,
161,79432,,
162,17971,,
163,57680,,
164,87581,,
165,35991,,
166,62889,All of the above,Unclear
167,97100,,
168,87581,,
169,87581,,
170,87581,,
171,33957,,
173,97100,,
175,40612,,
176,65199,,
177,72435,,
178,48557,,
179,40612,,
180,77231,,
181,16848,,
182,50926,Recruiting instructors for events and shop areas,Administrative - Recruiting volunteers or staff
183,95686,,
184,50926,,
185,13543,,
186,77702,,
187,50926,,
188,50926,,
189,50926,,
190,50926,,
191,50926,,
192,50926,Sales - surplus equipment and materials,Sales - Retail or Member Work
193,76690,,
194,18541,,
195,50926,,
196,89371,,
197,13055,,
198,73451,,
199,19723,,
201,63637,,
202,47063,,
203,26163,,
204,14745,,
205,94820,,
206,60450,,
207,92135,,
208,86543,,
209,76690,,
210,26958,,
211,33629,,
212,93723,,
213,86543,,
214,10500,,
215,10500,,
216,40612,Community building,HR - Internal Community Development
217,26114,,
218,10500,,
219,86543,,
220,80230,,
221,33000,,
222,10500,,
223,10500,,
224,10500,,
225,97260,,
226,37062,,
227,37062,,
228,37062,,
229,50926,,
230,50926,,
231,69188,,
232,79202,,
233,19660,,
234,33000,interviewing,Administrative - Recruiting volunteers or staff
235,42239,,
236,57069,,
237,63064,,
238,33000,,
239,58439,,
240,63906,,
241,38376,,
242,32758,,
243,58815,,
244,41144,,
245,29992,,
246,16499,,
247,47656,,
248,41144,,
249,61558,,
250,16499,,
251,32364,,
252,79195,,
253,71625,,
254,16499,,
255,64497,,
256,39904,"I do all academic administrative work to keep our Maker major compliant with College policies. (external reviews, IEPs etc.)",
257,90543,,
258,45268,,
259,59290,,
260,83917,,
261,19723,,
263,82820,Retail material sales management,Sales - Retail or Member Work
264,87970,,
265,86142,,
266,51639,,
267,92361,,
268,60814,,
269,87581,,
270,57264,Just a pain member,n/a
271,57264,,
272,14587,,
273,57264,,
274,45103,,
275,72671,,
277,63157,,
278,40013,,
279,63827,,
280,40793,,
281,25403,,
282,65199,,
283,95516,,
284,29580,,
285,51639,,
286,10131,,
287,28602,,
288,92361,,
289,92361,,
290,37668,,
291,40513,,
292,69173,,
293,42239,,
294,89497,,
295,50617,,
296,29574,,
297,97018,,
298,32364,,
299,32364,,
300,92723,,
301,66549,,
302,62088,,
303,83593,,
304,97137,,
305,67675,,
307,13550,,
308,66984,,
309,27653,,
310,84170,,
311,76704,,
312,47115,,
314,79193,,
315,65199,,
316,50926,,
317,30812,,
318,38439,,
319,68187,,
320,68187,safety,Unclear
321,33288,,
322,92361,,
323,66984,,
324,33288,,
325,92361,,
326,50926,,
327,68187,,
328,92361,,
329,68187,,
330,13720,,
331,74443,,
332,19723,,
334,78660,,
335,68187,,
336,32364,,
337,33288,,
338,32364,,
339,33288,,
340,33288,,
341,41739,,
342,41739,Board Functions and Research,Administrative - Serving on a board